
362,CIRUGIA DE CABEZA Y CUELLO,CONSULTA EXTERNA
363,CIRUGIA DE MANO,CONSULTA EXTERNA
364,CIRUGIA DE MAMA Y TUMORES TEJIDOS BLANDOS,CONSULTA EXTERNA
365,CIRUGIA DERMATOLOGICA,CONSULTA EXTERNA
366,CIRUGIA DE TORAX,CONSULTA EXTERNA
367,CIRUGIA GASTROINTESTINAL,CONSULTA EXTERNA
368,CIRUGIA GINECOLOGICA LAPAROSCOPICA,CONSULTA EXTERNA
369,CIRUGIA PLASTICA Y ESTETICA,CONSULTA EXTERNA
370,CIRUGIA PLASTICA ONCOLOGICA,CONSULTA EXTERNA
371,OTRAS CONSULTAS GENERALES,CONSULTA EXTERNA
372,CIRUGIA VASCULAR,CONSULTA EXTERNA
373,CIRUGIA ONCOLOGICA,CONSULTA EXTERNA
374,CIRUGIA ONCOLOGICA PEDIATRICA,CONSULTA EXTERNA
375,DERMATOLOGIA ONCOLOGICA,CONSULTA EXTERNA
377,COLOPROCTOLOGIA,CONSULTA EXTERNA
379,GINECOLOGIA ONCOLOGICA,CONSULTA EXTERNA
383,MEDICINA NUCLEAR,CONSULTA EXTERNA
384,NEFROLOGIA PEDIATRICA,CONSULTA EXTERNA
385,NEONATOLOGIA,CONSULTA EXTERNA
386,NEUMOLOGIA PEDIATRICA,CONSULTA EXTERNA
387,NEUROCIRUGIA,CONSULTA EXTERNA
388,NEUROPEDIATRIA,CONSULTA EXTERNA
390,OFTALMOLOGIA ONCOLOGICA,CONSULTA EXTERNA
391,ONCOLOGIA Y HEMATOLOGIA PEDIATRICA,CONSULTA EXTERNA
393,ORTOPEDIA ONCOLOGICA,CONSULTA EXTERNA
395,UROLOGIA ONCOLOGICA,CONSULTA EXTERNA
396,ODONTOPEDIATRIA,CONSULTA EXTERNA
397,MEDICINA ESTETICA,CONSULTA EXTERNA
406,HEMATOLOGIA ONCOLOGICA,CONSULTA EXTERNA
407,MEDICINA DEL TRABAJO Y MEDICINA LABORAL,CONSULTA EXTERNA
408,RADIOTERAPIA,CONSULTA EXTERNA
409,ORTOPEDIA PEDIATRICA,CONSULTA EXTERNA
410,CIRUGIA ORAL,CONSULTA EXTERNA
411,CIRUGIA MAXILOFACIAL,CONSULTA EXTERNA
412,MEDICINA ALTERNATIVA Y COMPLEMENTARIA - HOMEOPATICA,CONSULTA EXTERNA
413,MEDICINA ALTERNATIVA Y COMPLEMENTARIA - AYURVEDICA,CONSULTA EXTERNA
414,MEDICINA ALTERNATIVA Y COMPLEMENTARIA - TRADICIONAL CHINA,CONSULTA EXTERNA
415,MEDICINA ALTERNATIVA Y COMPLEMENTARIA - NATUROPATICA,CONSULTA EXTERNA
416,MEDICINA ALTERNATIVA Y COMPLEMENTARIA - NEURALTERAPEUTICA,CONSULTA EXTERNA
417,TERAPIAS ALTERNATIVAS Y COMPLEMENTARIAS - BIOENERGETICA,CONSULTA EXTERNA
418,TERAPIAS ALTERNATIVAS Y COMPLEMENTARIAS - TERAPIA CON FILTROS,CONSULTA EXTERNA
419,TERAPIAS ALTERNATIVAS Y COMPLEMENTARIAS - TERAPIAS MANUALES,CONSULTA EXTERNA
420,VACUNACION,CONSULTA EXTERNA
421,PATOLOGIA,CONSULTA EXTERNA
422,MEDICINA ALTERNATIVA Y COMPLEMENTARIA - OSTEOPATICA,CONSULTA EXTERNA
423,SEGURIDAD Y SALUD EN EL TRABAJO,CONSULTA EXTERNA
706,LABORATORIO CLINICO,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
709,QUIMIOTERAPIA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
711,RADIOTERAPIA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
712,TOMA DE MUESTRAS DE LABORATORIO CLINICO,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
714,SERVICIO FARMACEUTICO,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
715,MEDICINA NUCLEAR,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
717,LABORATORIO CITOLOGIAS CERVICO-UTERINAS,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
728,TERAPIA OCUPACIONAL,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
729,TERAPIA RESPIRATORIA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
731,LABORATORIO DE HISTOTECNOLOGIA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
733,HEMODIALISIS,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
734,DIALISIS PERITONEAL,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
739,FISIOTERAPIA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
740,FONOAUDIOLOGIA Y/O TERAPIA DEL LENGUAJE,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
742,DIAGNOSTICO VASCULAR,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
743,HEMODINAMIA E INTERVENCIONISMO,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
744,IMAGENES DIAGNOSTICAS- IONIZANTES,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
745,IMAGENES DIAGNOSTICAS - NO IONIZANTES,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
746,GESTION PRE-TRANSFUSIONAL,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
747,PATOLOGIA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
748,RADIOLOGIA ODONTOLOGICA,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
749,TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLOGICAS,APOYO DIAGNOSTICO Y COMPLEMENTACION TERAPEUTICA
