Tabla,Codigo,Nombre,Descripcion,Habilitado,Aplicacion,IsStandardGEL,IsStandardMSPS,Extra_I:Cobertura,Extra_II,Extra_III,Extra_IV,Extra_V,Extra_VI,Extra_VII,Extra_VIII,Extra_IX,Extra_X,ValorRegistro,UsuarioResponsable,Fecha_Actualizacion,IsPublicPrivate
CUPS,011101,BIOPSIAOSEA EN CRANEO POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.1.01,11101,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011102,BIOPSIAOSEA EN CRANEO POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.1.02,11102,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011103,BIOPSIA DE CRANEO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.1.03,11103,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011201,"BIOPSIA DE MENINGE, POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.2.01,11201,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011202,BIOPSIA DE MENINGE CEREBRAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.2.02,11202,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011301,BIOPSIA CERRADA (PERCUTANEA) (AGUJA) DE CEREBRO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.3.01,11301,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011302,BIOPSIA ABIERTA (CRANEOTOMIA) DE CEREBRO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.3.02,11302,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011303,BIOPSIA DE CEREBRO POR TREPANACION,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.3.03,11303,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011306,BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.3.06,11306,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,011307,BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.1.3.07,11307,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012101,CRANEALIZACION DE SENO FRONTAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.1.01,12101,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012102,INCISION Y DRENAJE DE SENO FRONTAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.1.02,12102,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012103,DESFUNCIONALIZACION DE SENO FRONTAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.1.03,12103,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012201,RETIRO O SUSTITUCION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.01,12201,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012202,RETIRO O SUSTITUCION DE ELECTRODO EPIDURAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.02,12202,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012203,RETIRO O SUSTITUCION DE ELECTRODO SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.03,12203,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012204,RETIRO O SUSTITUCION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.04,12204,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012205,RETIRO O SUSTITUCION DE NEUROESTIMULADOR INTRACRANEAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.05,12205,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012206,REVISION DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.06,12206,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012207,REVISION DE ELECTRODO EPIDURAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.07,12207,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012208,REVISION DE ELECTRODO SUBDURAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.08,12208,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012209,REVISION DE ELECTRODO A NERVIO CRANEAL O PERIFERICO,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.09,12209,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012210,REVISION DE NEUROESTIMULADOR,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.2.10,12210,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012301,REAPERTURA DE CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.3.01,12301,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012401,"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.4.01,12401,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012402,"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.4.02,12402,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012403,CRANEOTOMIA (DESCOMPRESIVA O EXPLORATORIA),CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.4.03,12403,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012410,"EXTRACCION DE CUERPO EXTRANO INTRACRANEAL, POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.4.10,12410,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012501,"SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.5.01,12501,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012502,"DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.5.02,12502,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012503,"DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.5.03,12503,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012505,CRANIECTOMIA DESCOMPRESIVA BIFRONTAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.5.05,12505,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012506,CRANIECTOMIA DESCOMPRESIVA HEMISFERICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.5.06,12506,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,012507,CRANIECTOMIA DESCOMPRESIVA EN FOSA POSTERIOR,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.2.5.07,12507,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013101,"DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.01,13101,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013102,"DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.02,13102,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013103,"DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.03,13103,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013104,"DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.04,13104,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013105,"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACION CISTO PERITONEAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.05,13105,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013106,"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.06,13106,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013107,INCISION DE MENINGES CEREBRALES,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.07,13107,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.1.10,13110,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013201,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACION POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.01,13201,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013202,"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES), POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.02,13202,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013204,SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.04,13204,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013205,SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.05,13205,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013206,SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.06,13206,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013207,SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.07,13207,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013208,SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.08,13208,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013209,SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.09,13209,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013210,SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.10,13210,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013211,AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.11,13211,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013212,AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) CON ABLACION,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.12,13212,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013213,AMIGDALOHIPOCAMPECTOMIA SUPRASELECTIVA (TRACTO CEREBRAL) VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.13,13213,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013214,TRACTOTOMIA LOBAR POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.14,13214,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013215,TRACTOTOMIA LOBAR VIA ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.15,13215,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013216,CINGULOTOMIA ESTEREOTACTICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.16,13216,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013217,CINGULOTOMIA POR CRANEOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.17,13217,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013218,CINGULOTOMIA CON ABLACION,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.18,13218,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,013219,TRACTOTOMIA MESENCEFALICA U OTRA LESION DE TALLO CEREBRAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.3.2.19,13219,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,014103,TALAMOTOMIA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.4.1.03,14103,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,014201,PALIDOTOMIA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.4.2.01,14201,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,014301,SUBTALAMOTOMIA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.4.3.01,14301,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,014401,LESION EN OTRAS ESTRUCTURAS SUBCORTICALES,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.4.4.01,14401,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015101,"RESECCION TUMOROSEO, POR CRANEOTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.1.01,15101,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015102,"RESECCION TUMOROSEO, POR CRANIECTOMIA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.1.02,15102,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015103,ESCISION DE LESION CRANEAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.1.03,15103,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.1.04,15104,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015201,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA CRANEOFACIAL ANTERIOR,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.2.01,15201,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015202,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA CRANEOFACIAL ANTEROLATERAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.2.02,15202,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015203,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA ANTEROLATERAL Y RINOTOMIA LATERAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.2.03,15203,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015204,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR, VIA TRANSCIGOMATICA Y TRANSPALATAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.2.04,15204,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015205,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO, FOSA ANTERIOR",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.2.05,15205,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015206,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA ANTERIOR VIA ENDONASAL (EXTENDIDA),CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.2.06,15206,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015301,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.01,15301,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015302,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR ABORDAJE TRANSMAXILAR,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.02,15302,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015303,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR CRANEOTOMIA GUIADA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.03,15303,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015304,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.04,15304,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015305,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBFRONTAL EXTENDIDA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.05,15305,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015306,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBTEMPORAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.06,15306,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015307,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.07,15307,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015308,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA SUBFRONTAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.08,15308,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015309,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA POR ORBITOTOMIA LATERAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.09,15309,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015310,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA TRANSESFENOIDAL,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.10,15310,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015311,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA TRANSESFENOIDAL ENDOSCOPICA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.11,15311,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015313,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA MEDIA VIA ENDONASAL (EXTENDIDA),CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.13,15313,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015314,RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA,CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.3.14,15314,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015401,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA EXTREMO LATERAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.01,15401,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015402,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA FRONTO ORBITO ETMOIDAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.02,15402,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015403,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.03,15403,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015404,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA TRANSORAL",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.04,15404,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015405,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA MAXILOTOMIA EXTENDIDA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.05,15405,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015406,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA TRANSLABERINTICA",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.06,15406,,,,,,,NA,,,2025-04-03 11:27:25 AM,
CUPS,015407,"RESECCION DE TUMOR O LESION DE LA BASE DEL CRANEO FOSA POSTERIOR, VIA TRANSCOCLEAR",CapItulo 01 SISTEMA NERVIOSO,SI,,False,False,SUBCATEGORIA,01.5.4.07,15407,,,,,,,NA,,,2025-04-03 11:27:25 AM,
